new play session: 01-01-0001 0:00:00
00:00:00-Level 2 - World tutorials
00:01:07.6406250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:08.2656250-CIRCLE {X:137,062 Y:720,0962} SQUARE {X:1203,98 Y:167,8192}
00:01:08.6406250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:09.2812500-CIRCLE {X:137,0692 Y:720,0853} SQUARE {X:1203,859 Y:167,8588}
00:01:09.6562500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:10.2968750-CIRCLE {X:137,0654 Y:720,0779} SQUARE {X:1203,969 Y:167,8177}
00:01:10.6718750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:11.2968750-CIRCLE {X:137,0789 Y:720,0626} SQUARE {X:1204,072 Y:167,8078}
00:01:11.6718750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:12.3125000-CIRCLE {X:137,0574 Y:720,0803} SQUARE {X:1203,599 Y:167,7643}
00:01:12.6875000-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:13.3281250-CIRCLE {X:137,0838 Y:720,0833} SQUARE {X:1203,549 Y:167,7617}
00:01:13.7031250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:14.3281250-CIRCLE {X:137,0809 Y:720,0754} SQUARE {X:1204,162 Y:167,835}
00:01:14.7031250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:15.3437500-CIRCLE {X:137,0406 Y:720,082} SQUARE {X:1204,275 Y:167,7471}
00:01:15.7187500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:16.3593750-CIRCLE {X:137,064 Y:720,072} SQUARE {X:1204,224 Y:167,7916}
00:01:16.7343750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:17.3593750-CIRCLE {X:137,0896 Y:720,0763} SQUARE {X:1203,846 Y:167,8242}
00:01:17.7343750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:18.3750000-CIRCLE {X:137,0661 Y:720,0828} SQUARE {X:1203,458 Y:167,7116}
00:01:18.7500000-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:19.3906250-CIRCLE {X:137,0912 Y:720,0901} SQUARE {X:1203,679 Y:167,7798}
00:01:19.7656250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:20.3906250-CIRCLE {X:137,1057 Y:720,092} SQUARE {X:1203,816 Y:167,8455}
00:01:20.7656250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:21.4062500-CIRCLE {X:137,0642 Y:720,068} SQUARE {X:1204,211 Y:167,7593}
00:01:21.7812500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
